"restaurant_no","restaurant_name","city","address","rating","cost_per_person","cuisine","restaurant_link","menu_category","item","price","veg_or_nonveg"
"1","Tandoor Hut","Bangalore","Tandoor Hut, 477, KHB Colony, 5th Block, Koramangala","4.3","300","Biryani,Chinese","https://www.swiggy.com/restaurants/tandoor-hut-5th-block-koramangala-bangalore-1","Accompaniments","Roasted Papad","35","Veg"
"1","Tandoor Hut","Bangalore","Tandoor Hut, 477, KHB Colony, 5th Block, Koramangala","4.3","300","Biryani,Chinese","https://www.swiggy.com/restaurants/tandoor-hut-5th-block-koramangala-bangalore-1","Accompaniments","Fried Papad","40","Veg"
"1","Tandoor Hut","Bangalore","Tandoor Hut, 477, KHB Colony, 5th Block, Koramangala","4.3","300","Biryani,Chinese","https://www.swiggy.com/restaurants/tandoor-hut-5th-block-koramangala-bangalore-1","Indian Breads","Tandoori Roti (1 Pc)","45","Veg"
"1","Tandoor Hut","Bangalore","Tandoor Hut, 477, KHB Colony, 5th Block, Koramangala","4.3","300","Biryani,Chinese","https://www.swiggy.com/restaurants/tandoor-hut-5th-block-koramangala-bangalore-1","Indian Breads","Butter Roti","50","Veg"
"1","Tandoor Hut","Bangalore","Tandoor Hut, 477, KHB Colony, 5th Block, Koramangala","4.3","300","Biryani,Chinese","https://www.swiggy.com/restaurants/tandoor-hut-5th-block-koramangala-bangalore-1","Indian Breads","Plain Kulcha (1 Pc)","50","Veg"
"1","Tandoor Hut","Bangalore","Tandoor Hut, 477, KHB Colony, 5th Block, Koramangala","4.3","300","Biryani,Chinese","https://www.swiggy.com/restaurants/tandoor-hut-5th-block-koramangala-bangalore-1","Main Course","Boiled Egg","55","Non-veg"
"1","Tandoor Hut","Bangalore","Tandoor Hut, 477, KHB Colony, 5th Block, Koramangala","4.3","300","Biryani,Chinese","https://www.swiggy.com/restaurants/tandoor-hut-5th-block-koramangala-bangalore-1","Salads","Cucumber Salad","55","Veg"
"1","Tandoor Hut","Bangalore","Tandoor Hut, 477, KHB Colony, 5th Block, Koramangala","4.3","300","Biryani,Chinese","https://www.swiggy.com/restaurants/tandoor-hut-5th-block-koramangala-bangalore-1","Indian Breads","Plain Methi Roti","55","Veg"
"1","Tandoor Hut","Bangalore","Tandoor Hut, 477, KHB Colony, 5th Block, Koramangala","4.3","300","Biryani,Chinese","https://www.swiggy.com/restaurants/tandoor-hut-5th-block-koramangala-bangalore-1","Indian Breads","Plain Kasta Roti","55","Veg"
"1","Tandoor Hut","Bangalore","Tandoor Hut, 477, KHB Colony, 5th Block, Koramangala","4.3","300","Biryani,Chinese","https://www.swiggy.com/restaurants/tandoor-hut-5th-block-koramangala-bangalore-1","Indian Breads","Butter Kulcha","55","Veg"
"1","Tandoor Hut","Bangalore","Tandoor Hut, 477, KHB Colony, 5th Block, Koramangala","4.3","300","Biryani,Chinese","https://www.swiggy.com/restaurants/tandoor-hut-5th-block-koramangala-bangalore-1","Indian Breads","Pudina Paratha","55","Veg"
"1","Tandoor Hut","Bangalore","Tandoor Hut, 477, KHB Colony, 5th Block, Koramangala","4.3","300","Biryani,Chinese","https://www.swiggy.com/restaurants/tandoor-hut-5th-block-koramangala-bangalore-1","Indian Breads","Plain Garlic Roti (1 Pc)","55","Veg"
"1","Tandoor Hut","Bangalore","Tandoor Hut, 477, KHB Colony, 5th Block, Koramangala","4.3","300","Biryani,Chinese","https://www.swiggy.com/restaurants/tandoor-hut-5th-block-koramangala-bangalore-1","Indian Breads","Paratha (1 Pc)","55","Veg"
